sentenca,SENHORA,ESTAVA_FAZENDO_COMPRAS,SUA_CARTEIRA,CARTEIRA_CAIU,DA_SUA_BOLSA,ELA_NAO_VIU_A_CARTEIRA_CAIR,NO_CAIXA,NAO_TEM_COMO_PAGAR,COLOCA_AS_MERCADORIAS_DE_LADO,FOI_PARA_SUA_CASA,QUANDO_ELA_ABRIU_A_PORTA,TELEFONE_TOCOU,PEQUENA,MENINA,LHE_DISSE,ELA_ACHOU_A_CARTEIRA,SENHORA_ALIVIADA
enquanto uma senhora fazia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sua carteira caiu da bolsa,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
mas ela não viu,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
quando ela foi ao caixa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
não tinha como pagar as compras,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
então ela colocou as compras de lado,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
foi para casa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
assim que ela abriu a porta da casa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
o telefone tocou,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uma menininha disse-lhe que tinha achado a carteira,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
a senhora ficou muito aliviada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
